"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","SS_name","SI"
"149",189,20,"20_ 189",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"150",190,185,"185_ 190",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"151",191,4,"4_ 191",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"152",192,112,"112_ 192",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"153",193,127,"127_ 193",0,"IDFdk3",1,0.7,4,0.3,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"154",194,202,"202_ 194",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"155",195,177,"177_ 195",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"156",196,105,"105_ 196",0,"IDFdk3",8,0.6,7,0.2,1,0.2,"SxwFd - Prickly rose - Sedge",20.2
"157",197,160,"160_ 197",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"158",200,175,"175_ 200",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"159",201,174,"174_ 201",0,"IDFdk3",5,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"160",202,118,"118_ 202",0,"IDFdk3",5,0.5,1,0.4,8,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"161",203,17,"17_ 203",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"162",204,7,"7_ 204",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"163",205,90,"90_ 205",5000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"164",206,85,"85_ 206",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"165",208,238,"238_ 208",3000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"166",209,236,"236_ 209",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"167",210,175,"175_ 210",5000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"168",211,205,"205_ 211",2000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"169",212,225,"225_ 212",1000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"170",214,135,"135_ 214",0,"IDFdk3",1,0.9,4,0.1,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"171",215,193,"193_ 215",2000,"IDFdk3",1,0.6,8,0.4,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"172",217,119,"119_ 217",1000,"IDFdk3",NA,NA,NA,NA,NA,NA,NA,NA
"173",218,119,"119_ 218",2000,"IDFdk3",1,0.7,4,0.3,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"174",219,5,"5_ 219",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"175",221,5,"5_ 221",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"176",222,220,"220_ 222",13000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
